Domain Code,Domain,Reporter Country Code (M49),Reporter Countries,Partner Country Code (M49),Partner Countries,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","792","Türkiye","008","Albania","5910","Export Quantity","0141","Soya beans","1996","1996","t","14","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","012","Algeria","5910","Export Quantity","0141","Soya beans","2022","2022","t","0","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","1992","1992","t","10821","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","1993","1993","t","18082","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","1995","1995","t","52408","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","1996","1996","t","5869","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","1998","1998","t","11300","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","1999","1999","t","38034","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2000","2000","t","17990","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2002","2002","t","71230","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2003","2003","t","336991","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2004","2004","t","238948","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2005","2005","t","207235","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2006","2006","t","33260","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2007","2007","t","445804","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2008","2008","t","520071","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2009","2009","t","87158","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2010","2010","t","103059","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2011","2011","t","129528","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2012","2012","t","131748","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2013","2013","t","117587","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2014","2014","t","77662.46","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2015","2015","t","15401.8","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2016","2016","t","92622.08","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2017","2017","t","77640.23","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2019","2019","t","0","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2021","2021","t","0.01","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","032","Argentina","5610","Import Quantity","0141","Soya beans","2022","2022","t","39387","A","Official figure"
"TM","Detailed trade matrix","792","Türkiye","040","Austria","5610","Import Quantity","0141","Soya beans","2009","2009","t","0","A","Official figure"
